P(Xi|Zj) from Matt,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,SUM,,1,2,3,4,5,6,7
1330036810,7752924.139,84866274.52,270760.7362,8511746.929,67359158.85,8773208.926,1.51E+09,,0.88,0.01,0.06,0.00,0.01,0.04,0.01
3563842366,20774011.16,227399739.9,725505.1709,22807281.8,180489308.5,23507870.93,4.04E+09,,0.88,0.01,0.06,0.00,0.01,0.04,0.01
3249503919,374012349.6,4298708974,13061892.19,410619066.3,3249503909,7053872913,1.86E+10,,0.17,0.02,0.23,0.00,0.02,0.17,0.38
12126268.68,70685.29293,773746.4403,2468.591406,77603.66443,614129.8142,79987.47694,1.37E+07,,0.88,0.01,0.06,0.00,0.01,0.04,0.01
953234175.7,953234172.2,1.74E+11,554840947.1,8749702221,953234173.1,17977996423,2.04E+11,,0.00,0.00,0.85,0.00,0.04,0.00,0.09
16268118802,1872432685,2055698332,65392262.9,2055698328,16268118802,1872432691,4.05E+10,,0.40,0.05,0.05,0.00,0.05,0.40,0.05
531385.6972,4164798.358,16956.15178,54.09758077,2548.162777,40101.52304,1752.873721,4.76E+06,,0.11,0.88,0.00,0.00,0.00,0.01,0.00
78425977060,9026695994,9910190117,315245553.1,9910190103,78425977060,9026696018,1.95E+11,,0.40,0.05,0.05,0.00,0.05,0.40,0.05
362854765.1,362854763.9,66198962397,211203801.5,3330630843,362854764.3,6843440826,7.77E+10,,0.00,0.00,0.85,0.00,0.04,0.00,0.09
4.66E+11,4.66E+11,8.43E+11,8.43E+11,4.66E+11,4.66E+11,8.43E+11,4.39E+12,,0.11,0.11,0.19,0.19,0.11,0.11,0.19
287689.0317,4527484.837,6107.647742,2105732.176,4527484.845,23979521.97,6107.647742,3.54E+07,,0.01,0.13,0.00,0.06,0.13,0.68,0.00
112820531.3,657642.7173,7198791.88,22967.31181,722009.9506,5713748.701,744188.4957,1.28E+08,,0.88,0.01,0.06,0.00,0.01,0.04,0.01
10702815729,62387836.05,682919518.6,2178813.583,68494088.47,542039633.5,70598075.03,1.21E+10,,0.88,0.01,0.06,0.00,0.01,0.04,0.01
21918.05105,171785.3218,699.3899202,2.231361407,105.1039991,1654.066404,72.3007335,1.96E+05,,0.11,0.88,0.00,0.00,0.00,0.01,0.00
2.12E+11,23044095397,13413081586,4.20E+12,23044095426,23044095374,13413081586,4.51E+12,,0.05,0.01,0.00,0.93,0.01,0.01,0.00
153521.2952,1203241.34,4898.758844,15.62919497,736.1832507,11585.6294,506.4183047,1.37E+06,,0.11,0.88,0.00,0.00,0.00,0.01,0.00
18129654.26,13169897.8,1103945.956,3354.407835,158002.9469,2486559.679,1811496.084,3.69E+07,,0.49,0.36,0.03,0.00,0.00,0.07,0.05
513546415.8,2993515.964,32768093.92,104544.6297,3286508.387,26008343.8,3387462.637,5.82E+08,,0.88,0.01,0.06,0.00,0.01,0.04,0.01
309980378.2,2453082512,9860551.084,309980378.5,2453082512,282345610.1,9860551.084,5.83E+09,,0.05,0.42,0.00,0.05,0.42,0.05,0.00
133858.8969,1049134.964,4271.34525,13.6274697,641.8958212,10101.78796,441.5582582,1.20E+06,,0.11,0.88,0.00,0.00,0.00,0.01,0.00
2.98E+11,2.98E+11,2.90E+12,2.98E+11,2.98E+11,2.98E+11,2.90E+12,7.28E+12,,0.04,0.04,0.40,0.04,0.04,0.04,0.40
450757863.8,255925155.7,27791639.65,27791639.55,450757862.2,255925155.8,27791639.52,1.50E+09,,0.30,0.17,0.02,0.02,0.30,0.17,0.02
4605986.665,26848.78216,293896.3237,937.6585155,29476.62244,233268.2717,30382.07925,5.22E+06,,0.88,0.01,0.06,0.00,0.01,0.04,0.01
54073912.46,54073911.8,9865205500,31474343.91,496342489.3,54073911.85,1019833962,1.16E+10,,0.00,0.00,0.85,0.00,0.04,0.00,0.09
12123753610,1320819392,768798156.1,2.41E+11,1320819393,1320819376,768798156.1,2.59E+11,,0.05,0.01,0.00,0.93,0.01,0.01,0.00
1598991873,174201779.1,101396155.3,31781247423,174201779.4,174201779,101396155.3,3.41E+10,,0.05,0.01,0.00,0.93,0.01,0.01,0.00
21655.68169,169728.9709,691.0178945,2.204650963,103.8458548,1634.266452,71.4352599,1.94E+05,,0.11,0.88,0.00,0.00,0.00,0.01,0.00
2365753421,2365753415,4.32E+11,1377014070,21715165638,2365753418,44618109326,5.06E+11,,0.00,0.00,0.85,0.00,0.04,0.00,0.09
129506368.2,754906.2222,8263472.796,26364.11218,828793.1773,6558795.95,854251.8652,1.47E+08,,0.88,0.01,0.06,0.00,0.01,0.04,0.01
20320945825,2213860481,1288603034,4.04E+11,2213860484,2213860479,1288603034,4.33E+11,,0.05,0.01,0.00,0.93,0.01,0.01,0.00
1.01E+12,1.01E+12,9.27E+12,5.88E+11,9.27E+12,1.01E+12,1.01E+12,2.32E+13,,0.04,0.04,0.40,0.03,0.40,0.04,0.04
288143592.1,1679619.244,18385711.59,58658.50524,1844013.127,14592911.91,1900657.122,3.27E+08,,0.88,0.01,0.06,0.00,0.01,0.04,0.01
224191247.6,1306834.503,14305074.74,45639.47916,1434741.618,11354072.14,1478813.724,2.54E+08,,0.88,0.01,0.06,0.00,0.01,0.04,0.01
69.94720612,1098.388104,1.486561388,0.004729252,0.30109568,7.265706751,1.486561388,1.18E+03,,0.06,0.93,0.00,0.00,0.00,0.01,0.00
13384777211,13384777175,24224849505,24224850247,13384777178,13384777175,24224849458,1.26E+11,,0.11,0.11,0.19,0.19,0.11,0.11,0.19
1064509758,1064509755,1.94E+11,619610184.7,9771096812,1064509756,20076653943,2.28E+11,,0.00,0.00,0.85,0.00,0.04,0.00,0.09
313363989.5,1659711504,19912023.12,422732.915,19912023.11,313363989.5,1659711507,3.99E+09,,0.08,0.42,0.00,0.00,0.00,0.08,0.42
