,,,,,,,,"* this is necessary because often, the values of some cells are extremely similar",,,,,,,,,,,,,,,,,,,,,,,,
P(Xi|Zj) from Matt,,,,,,,,"Rounded to 3 significant figures, in scientific notation",,,,,,,,,cells containing max value of each row are marked with 1,,,,,,,,,normalises each row to sum to 1,,,,,,
3598405502,20975483.31,229605125.9,732541.3221,23028473.17,182239744.1,23735856.81,,3600000000,21000000,230000000,733000,23000000,182000000,23700000,3600000000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
37235675337,4056631555,2361209199,7.40089E+11,4056631560,4056631551,2361209199,,37200000000,4060000000,2360000000,7.4E+11,4060000000,4060000000,2360000000,7.4E+11,,0,0,0,1,0,0,0,1,,0,0,0,1,0,0,0
60075203949,6544878422,3809521994,1.19404E+12,6544878429,6544878415,3809521994,,60100000000,6540000000,3810000000,1.19E+12,6540000000,6540000000,3810000000,1.19E+12,,0,0,0,1,0,0,0,1,,0,0,0,1,0,0,0
2225849213,1263762329,137235540.8,137235540.8,2225849213,1263762329,137235540.6,,2230000000,1260000000,137000000,137000000,2230000000,1260000000,137000000,2230000000,,1,0,0,0,1,0,0,2,,0.5,0,0,0,0.5,0,0
94.39252581,1482.255449,2.006088478,0.006382042,0.40632333,9.804943603,2.006088478,,94.4,1480,2.01,0.00638,0.406,9.8,2.01,1480,,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0
654321.9273,475318.1065,39842.7921,121.0647797,5702.524231,89743.05288,65379.16229,,654000,475000,39800,121,5700,89700,65400,654000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
53476525.98,311720.2883,3412201.453,10886.42318,342230.1192,2708296.33,352742.6705,,53500000,312000,3410000,10900,342000,2710000,353000,53500000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
4989.16346,78516.59058,105.9201067,34858.63355,572469.1238,415857.895,105.9201067,,4990,78500,106,34900,572000,416000,106,572000,,0,0,0,0,1,0,0,1,,0,0,0,0,1,0,0
1330036810,7752924.139,84866274.52,270760.7362,8511746.929,67359158.85,8773208.926,,1330000000,7750000,84900000,271000,8510000,67400000,8770000,1330000000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
3563842366,20774011.16,227399739.9,725505.1709,22807281.8,180489308.5,23507870.93,,3560000000,20800000,227000000,726000,22800000,180000000,23500000,3560000000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
3249503919,374012349.6,4298708974,13061892.19,410619066.3,3249503909,7053872913,,3250000000,374000000,4300000000,13100000,411000000,3250000000,7050000000,7050000000,,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,1
12126268.68,70685.29293,773746.4403,2468.591406,77603.66443,614129.8142,79987.47694,,12100000,70700,774000,2470,77600,614000,80000,12100000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
953234175.7,953234172.2,1.73907E+11,554840947.1,8749702221,953234173.1,17977996423,,953000000,953000000,1.74E+11,555000000,8750000000,953000000,18000000000,1.74E+11,,0,0,1,0,0,0,0,1,,0,0,1,0,0,0,0
16268118802,1872432685,2055698332,65392262.9,2055698328,16268118802,1872432691,,16300000000,1870000000,2060000000,65400000,2060000000,16300000000,1870000000,16300000000,,1,0,0,0,0,1,0,2,,0.5,0,0,0,0,0.5,0
